,CO_MUN_GEO,NO_MUN,NO_MUN_MIN,SG_UF
221,2210938,SUSSUAPARA,Sussuapara,PI
222,2210953,TAMBORIL DO PIAUI,Tamboril do Piauí,PI
223,2210979,TANQUE DO PIAUI,Tanque do Piauí,PI
224,2211001,TERESINA,Teresina,PI
225,2211100,UNIAO,União,PI
226,2211209,URUCUI,Uruçuí,PI
227,2211308,VALENCA DO PIAUI,Valença do Piauí,PI
228,2211357,VARZEA BRANCA,Várzea Branca,PI
229,2211407,VARZEA GRANDE,Várzea Grande,PI
230,2211506,VERA MENDES,Vera Mendes,PI
231,2211605,VILA NOVA DO PIAUI,Vila Nova do Piauí,PI
232,2211704,WALL FERRAZ,Wall Ferraz,PI
233,2300101,ABAIARA,Abaiara,CE
234,2300150,ACARAPE,Acarapé,CE
235,2300200,ACARAU,Acaraú,CE
236,2300309,ACOPIARA,Acopiara,CE
237,2300408,AIUABA,Aiuaba,CE
238,2300507,ALCANTARAS,Alcântaras,CE
239,2300606,ALTANEIRA,Altaneira,CE
240,2300705,ALTO SANTO,Alto Santo,CE
241,2300754,AMONTADA,Amontada,CE
242,2300804,ANTONINA DO NORTE,Antonina do Norte,CE
243,2300903,APUIARES,Apuiarés,CE
244,2301000,AQUIRAZ,Aquiraz,CE
245,2301109,ARACATI,Aracati,CE
246,2301208,ARACOIABA,Aracoiaba,CE
247,2301257,ARARENDA,Ararendá,CE
248,2301307,ARARIPE,Araripe,CE
249,2301406,ARATUBA,Aratuba,CE
250,2301505,ARNEIROZ,Arneiroz,CE
251,2301604,ASSARE,Assaré,CE
252,2301703,AURORA,Aurora,CE
253,2301802,BAIXIO,Baixio,CE
254,2301851,BANABUIU,Banabuiú,CE
255,2301901,BARBALHA,Barbalha,CE
256,2301950,BARREIRA,Barreira,CE
257,2302008,BARRO,Barro,CE
258,2302057,BARROQUINHA,Barroquinha,CE
259,2302107,BATURITE,Baturité,CE
260,2302206,BEBERIBE,Beberibe,CE
261,2302305,BELA CRUZ,Bela Cruz,CE
262,2302404,BOA VIAGEM,Boa Viagem,CE
263,2302503,BREJO SANTO,Brejo Santo,CE
264,2302602,CAMOCIM,Camocim,CE
265,2302701,CAMPOS SALES,Campos Sales,CE
266,2302800,CANINDE,Canindé,CE
267,2302909,CAPISTRANO,Capistrano,CE
268,2303006,CARIDADE,Caridade,CE
269,2303105,CARIRE,Cariré,CE
270,2303204,CARIRIACU,Caririaçu,CE
271,2303303,CARIUS,Cariús,CE
272,2303402,CARNAUBAL,Carnaubal,CE
273,2303501,CASCAVEL,Cascavel,CE
274,2303600,CATARINA,Catarina,CE
275,2303659,CATUNDA,Catunda,CE
276,2303709,CAUCAIA,Caucaia,CE
277,2303808,CEDRO,Cedro,CE
278,2303907,CHAVAL,Chaval,CE
279,2303931,CHORO,Choró,CE
280,2303956,CHOROZINHO,Chorozinho,CE
281,2304004,COREAU,Coreaú,CE
282,2304103,CRATEUS,Crateús,CE
283,2304202,CRATO,Crato,CE
284,2304236,CROATA,Croatá,CE
285,2304251,CRUZ,Cruz,CE
286,2304269,DEPUTADO IRAPUAN PINHEIRO,Deputado Irapuan Pinheiro,CE
287,2304277,ERERE,Ererê,CE
288,2304285,EUSEBIO,Eusébio,CE
289,2304301,FARIAS BRITO,Farias Brito,CE
290,2304350,FORQUILHA,Forquilha,CE
291,2304400,FORTALEZA,Fortaleza,CE
292,2304459,FORTIM,Fortim,CE
293,2304509,FRECHEIRINHA,Frecheirinha,CE
294,2304608,GENERAL SAMPAIO,General Sampaio,CE
295,2304657,GRACA,Graça,CE
296,2304707,GRANJA,Granja,CE
297,2304806,GRANJEIRO,Granjeiro,CE
298,2304905,GROAIRAS,Groaíras,CE
299,2304954,GUAIUBA,Guaiúba,CE
300,2305001,GUARACIABA DO NORTE,Guaraciaba do Norte,CE
301,2305100,GUARAMIRANGA,Guaramiranga,CE
302,2305209,HIDROLANDIA,Hidrolândia,CE
303,2305233,HORIZONTE,Horizonte,CE
304,2305266,IBARETAMA,Ibaretama,CE
305,2305308,IBIAPINA,Ibiapina,CE
306,2305332,IBICUITINGA,Ibicuitinga,CE
307,2305357,ICAPUI,Icapuí,CE
308,2305407,ICO,Icó,CE
309,2305506,IGUATU,Iguatu,CE
310,2305605,INDEPENDENCIA,Independência,CE
311,2305654,IPAPORANGA,Ipaporanga,CE
312,2305704,IPAUMIRIM,Ipaumirim,CE
313,2305803,IPU,Ipu,CE
314,2305902,IPUEIRAS,Ipueiras,CE
315,2306009,IRACEMA,Iracema,CE
316,2306108,IRAUCUBA,Irauçuba,CE
317,2306207,ITAICABA,Itaiçaba,CE
318,2306256,ITAITINGA,Itaitinga,CE
319,2306306,ITAPAGE,Itapagé,CE
320,2306405,ITAPIPOCA,Itapipoca,CE
321,2306504,ITAPIUNA,Itapiúna,CE
322,2306553,ITAREMA,Itarema,CE
323,2306603,ITATIRA,Itatira,CE
324,2306702,JAGUARETAMA,Jaguaretama,CE
325,2306801,JAGUARIBARA,Jaguaribara,CE
326,2306900,JAGUARIBE,Jaguaribe,CE
327,2307007,JAGUARUANA,Jaguaruana,CE
328,2307106,JARDIM,Jardim,CE
329,2307205,JATI,Jati,CE
330,2307254,JIJOCA DE JERICOACOARA,Jijoca de Jericoacoara,CE
331,2307304,JUAZEIRO DO NORTE,Juazeiro do Norte,CE
332,2307403,JUCAS,Jucás,CE
333,2307502,LAVRAS DA MANGABEIRA,Lavras da Mangabeira,CE
334,2307601,LIMOEIRO DO NORTE,Limoeiro do Norte,CE
335,2307635,MADALENA,Madalena,CE
336,2307650,MARACANAU,Maracanaú,CE
337,2307700,MARANGUAPE,Maranguape,CE
338,2307809,MARCO,Marco,CE
339,2307908,MARTINOPOLE,Martinópole,CE
340,2308005,MASSAPE,Massapê,CE
341,2308104,MAURITI,Mauriti,CE
342,2308203,MERUOCA,Meruoca,CE
343,2308302,MILAGRES,Milagres,CE
344,2308351,MILHA,Milhã,CE
345,2308377,MIRAIMA,Miraíma,CE
346,3156809,SABINOPOLIS,Sabinópolis,MG
347,3156908,SACRAMENTO,Sacramento,MG
348,3157005,SALINAS,Salinas,MG
349,3157104,SALTO DA DIVISA,Salto da Divisa,MG
350,3157203,SANTA BARBARA,Santa Bárbara,MG
351,3157252,SANTA BARBARA DO LESTE,Santa Bárbara do Leste,MG
352,3157278,SANTA BARBARA DO MONTE VERDE,Santa Bárbara do Monte Verde,MG
353,3157302,SANTA BARBARA DO TUGURIO,Santa Bárbara do Tugúrio,MG
354,3157336,SANTA CRUZ DE MINAS,Santa Cruz de Minas,MG
355,3157377,SANTA CRUZ DE SALINAS,Santa Cruz de Salinas,MG
356,3157401,SANTA CRUZ DO ESCALVADO,Santa Cruz do Escalvado,MG
357,3157500,SANTA EFIGENIA DE MINAS,Santa Efigênia de Minas,MG
358,3157609,SANTA FE DE MINAS,Santa Fé de Minas,MG
359,3157658,SANTA HELENA DE MINAS,Santa Helena de Minas,MG
360,3157708,SANTA JULIANA,Santa Juliana,MG
361,3157807,SANTA LUZIA,Santa Luzia,MG
362,3157906,SANTA MARGARIDA,Santa Margarida,MG
363,3158003,SANTA MARIA DE ITABIRA,Santa Maria de Itabira,MG
364,3158102,SANTA MARIA DO SALTO,Santa Maria do Salto,MG
365,3158201,SANTA MARIA DO SUACUI,Santa Maria do Suaçuí,MG
366,3158300,SANTANA DA VARGEM,Santana da Vargem,MG
367,3158409,SANTANA DE CATAGUASES,Santana de Cataguases,MG
368,3158508,SANTANA DE PIRAPAMA,Santana de Pirapama,MG
369,3158607,SANTANA DO DESERTO,Santana do Deserto,MG
370,3158706,SANTANA DO GARAMBEU,Santana do Garambéu,MG
371,3158805,SANTANA DO JACARE,Santana do Jacaré,MG
372,3158904,SANTANA DO MANHUACU,Santana do Manhuaçu,MG
373,3158953,SANTANA DO PARAISO,Santana do Paraíso,MG
374,3159001,SANTANA DO RIACHO,Santana do Riacho,MG
375,3159100,SANTANA DOS MONTES,Santana dos Montes,MG
376,3159209,SANTA RITA DE CALDAS,Santa Rita de Caldas,MG
377,3159308,SANTA RITA DE JACUTINGA,Santa Rita de Jacutinga,MG
378,3159357,SANTA RITA DE MINAS,Santa Rita de Minas,MG
379,3159407,SANTA RITA DE IBITIPOCA,Santa Rita de Ibitipoca,MG
380,3159506,SANTA RITA DO ITUETO,Santa Rita do Itueto,MG
381,3159605,SANTA RITA DO SAPUCAI,Santa Rita do Sapucaí,MG
382,3159704,SANTA ROSA DA SERRA,Santa Rosa da Serra,MG
383,3159803,SANTA VITORIA,Santa Vitória,MG
384,1506807,SANTAREM,Santarém,PA
385,1506906,SANTAREM NOVO,Santarém Novo,PA
386,1507003,SANTO ANTONIO DO TAUA,Santo Antônio do Tauá,PA
387,1507102,SAO CAETANO DE ODIVELAS,São Caetano de Odivelas,PA
388,1507151,SAO DOMINGOS DO ARAGUAIA,São Domingos do Araguaia,PA
389,1507201,SAO DOMINGOS DO CAPIM,São Domingos do Capim,PA
390,1507300,SAO FELIX DO XINGU,São Félix do Xingu,PA
391,1507409,SAO FRANCISCO DO PARA,São Francisco do Pará,PA
392,1507458,SAO GERALDO DO ARAGUAIA,São Geraldo do Araguaia,PA
393,1507466,SAO JOAO DA PONTA,São João da Ponta,PA
394,1507474,SAO JOAO DE PIRABAS,São João de Pirabas,PA
