,CO_MUN_GEO,NO_MUN,NO_MUN_MIN,SG_UF
2865,2507606,JUAREZ TAVORA,Juarez Távora,PB
2866,2507705,JUAZEIRINHO,Juazeirinho,PB
2867,2507804,JUNCO DO SERIDO,Junco do Seridó,PB
2868,2507903,JURIPIRANGA,Juripiranga,PB
2869,2508000,JURU,Juru,PB
2870,2508109,LAGOA,Lagoa,PB
2871,2508208,LAGOA DE DENTRO,Lagoa de Dentro,PB
2872,2508307,LAGOA SECA,Lagoa Seca,PB
2873,2508406,LASTRO,Lastro,PB
2874,2508505,LIVRAMENTO,Livramento,PB
2875,2508554,LOGRADOURO,Logradouro,PB
2876,2508604,LUCENA,Lucena,PB
2877,2508703,MAE D'AGUA,Mãe d'Água,PB
2878,2508802,MALTA,Malta,PB
2879,2508901,MAMANGUAPE,Mamanguape,PB
2880,2509008,MANAIRA,Manaíra,PB
2881,2509057,MARCACAO,Marcação,PB
2882,2509107,MARI,Mari,PB
2883,2509156,MARIZOPOLIS,Marizópolis,PB
2884,2509206,MASSARANDUBA,Massaranduba,PB
2885,2509305,MATARACA,Mataraca,PB
2886,2509339,MATINHAS,Matinhas,PB
2887,2509370,MATO GROSSO,Mato Grosso,PB
2888,2509396,MATUREIA,Maturéia,PB
2889,2509404,MOGEIRO,Mogeiro,PB
2890,2509503,MONTADAS,Montadas,PB
2891,2509602,MONTE HOREBE,Monte Horebe,PB
2892,2509701,MONTEIRO,Monteiro,PB
2893,2509800,MULUNGU,Mulungu,PB
2894,2509909,NATUBA,Natuba,PB
2895,2510006,NAZAREZINHO,Nazarezinho,PB
2896,2510105,NOVA FLORESTA,Nova Floresta,PB
2897,2510204,NOVA OLINDA,Nova Olinda,PB
2898,2510303,NOVA PALMEIRA,Nova Palmeira,PB
2899,2510402,OLHO D'AGUA,Olho d'Água,PB
2900,2510501,OLIVEDOS,Olivedos,PB
2901,2510600,OURO VELHO,Ouro Velho,PB
2902,2510659,PARARI,Parari,PB
2903,2510709,PASSAGEM,Passagem,PB
2904,2510808,PATOS,Patos,PB
2905,2510907,PAULISTA,Paulista,PB
2906,2511004,PEDRA BRANCA,Pedra Branca,PB
2907,2511103,PEDRA LAVRADA,Pedra Lavrada,PB
2908,2511202,PEDRAS DE FOGO,Pedras de Fogo,PB
2909,2511301,PIANCO,Piancó,PB
2910,2511400,PICUI,Picuí,PB
2911,2511509,PILAR,Pilar,PB
2912,2511608,PILOES,Pilões,PB
2913,2511707,PILOEZINHOS,Pilõezinhos,PB
2914,2511806,PIRPIRITUBA,Pirpirituba,PB
2915,2511905,PITIMBU,Pitimbu,PB
2916,2512002,POCINHOS,Pocinhos,PB
2917,2512036,POCO DANTAS,Poço Dantas,PB
2918,2512077,POCO DE JOSE DE MOURA,Poço de José de Moura,PB
2919,2512101,POMBAL,Pombal,PB
2920,2512200,PRATA,Prata,PB
2921,2512309,PRINCESA ISABEL,Princesa Isabel,PB
2922,2512408,PUXINANA,Puxinanã,PB
2923,2512507,QUEIMADAS,Queimadas,PB
2924,2512606,QUIXABA,Quixabá,PB
2925,2512705,REMIGIO,Remígio,PB
2926,2512721,PEDRO REGIS,Pedro Régis,PB
2927,2512747,RIACHAO,Riachão,PB
2928,2512754,RIACHAO DO BACAMARTE,Riachão do Bacamarte,PB
2929,2512762,RIACHAO DO POCO,Riachão do Poço,PB
2930,2512788,RIACHO DE SANTO ANTONIO,Riacho de Santo Antônio,PB
2931,2512804,RIACHO DOS CAVALOS,Riacho dos Cavalos,PB
2932,2512903,RIO TINTO,Rio Tinto,PB
2933,2513000,SALGADINHO,Salgadinho,PB
2934,2513109,SALGADO DE SAO FELIX,Salgado de São Félix,PB
2935,2513158,SANTA CECILIA,Santa Cecília,PB
2936,2513208,SANTA CRUZ,Santa Cruz,PB
2937,2513307,SANTA HELENA,Santa Helena,PB
2938,2513356,SANTA INES,Santa Inês,PB
2939,2513406,SANTA LUZIA,Santa Luzia,PB
2940,2513505,SANTANA DE MANGUEIRA,Santana de Mangueira,PB
2941,2513604,SANTANA DOS GARROTES,Santana dos Garrotes,PB
2942,2513653,SANTAREM,Santarém,PB
2943,2513703,SANTA RITA,Santa Rita,PB
2944,2513802,SANTA TERESINHA,Santa Teresinha,PB
2945,2513851,SANTO ANDRE,Santo André,PB
2946,2513901,SAO BENTO,São Bento,PB
2947,2513927,SAO BENTINHO,São Bentinho,PB
2948,2513943,SAO DOMINGOS DO CARIRI,São Domingos do Cariri,PB
2949,2513968,SAO DOMINGOS DE POMBAL,São Domingos de Pombal,PB
2950,2513984,SAO FRANCISCO,São Francisco,PB
2951,2514008,SAO JOAO DO CARIRI,São João do Cariri,PB
2952,2514107,SAO JOAO DO TIGRE,São João do Tigre,PB
2953,2514206,SAO JOSE DA LAGOA TAPADA,São José da Lagoa Tapada,PB
2954,2514305,SAO JOSE DE CAIANA,São José de Caiana,PB
2955,2514404,SAO JOSE DE ESPINHARAS,São José de Espinharas,PB
2956,2514453,SAO JOSE DOS RAMOS,São José dos Ramos,PB
2957,2514503,SAO JOSE DE PIRANHAS,São José de Piranhas,PB
2958,2514552,SAO JOSE DE PRINCESA,São José de Princesa,PB
2959,2514602,SAO JOSE DO BONFIM,São José do Bonfim,PB
2960,2514651,SAO JOSE DO BREJO DO CRUZ,São José do Brejo do Cruz,PB
2961,2514701,SAO JOSE DO SABUGI,São José do Sabugi,PB
2962,2514800,SAO JOSE DOS CORDEIROS,São José dos Cordeiros,PB
2963,2514909,SAO MAMEDE,São Mamede,PB
2964,2515005,SAO MIGUEL DE TAIPU,São Miguel de Taipu,PB
2965,2515104,SAO SEBASTIAO DE LAGOA DE ROCA,São Sebastião da Lagoa de Roça,PB
2966,2515203,SAO SEBASTIAO DO UMBUZEIRO,São Sebastião do Umbuzeiro,PB
2967,2515302,SAPE,Sapé,PB
2968,2515401,SERIDO,Seridó,PB
2969,2515500,SERRA BRANCA,Serra Branca,PB
2970,2515609,SERRA DA RAIZ,Serra da Raiz,PB
2971,2515708,SERRA GRANDE,Serra Grande,PB
2972,2515807,SERRA REDONDA,Serra Redonda,PB
2973,2515906,SERRARIA,Serraria,PB
2974,3141207,MATUTINA,Matutina,MG
2975,3141306,MEDEIROS,Medeiros,MG
2976,3141405,MEDINA,Medina,MG
2977,3141504,MENDES PIMENTEL,Mendes Pimentel,MG
2978,3141603,MERCES,Mercês,MG
2979,3141702,MESQUITA,Mesquita,MG
2980,3141801,MINAS NOVAS,Minas Novas,MG
2981,3141900,MINDURI,Minduri,MG
2982,3142007,MIRABELA,Mirabela,MG
2983,3142106,MIRADOURO,Miradouro,MG
2984,3142205,MIRAI,Miraí,MG
2985,3142254,MIRAVANIA,Miravânia,MG
2986,3142304,MOEDA,Moeda,MG
2987,3142403,MOEMA,Moema,MG
2988,3142502,MONJOLOS,Monjolos,MG
2989,3142601,MONSENHOR PAULO,Monsenhor Paulo,MG
2990,3142700,MONTALVANIA,Montalvânia,MG
2991,3142809,MONTE ALEGRE DE MINAS,Monte Alegre de Minas,MG
2992,3142908,MONTE AZUL,Monte Azul,MG
2993,3143005,MONTE BELO,Monte Belo,MG
2994,3143104,MONTE CARMELO,Monte Carmelo,MG
2995,3143153,MONTE FORMOSO,Monte Formoso,MG
2996,3143203,MONTE SANTO DE MINAS,Monte Santo de Minas,MG
2997,3143302,MONTES CLAROS,Montes Claros,MG
2998,3143401,MONTE SIAO,Monte Sião,MG
2999,3143450,MONTEZUMA,Montezuma,MG
3000,3143500,MORADA NOVA DE MINAS,Morada Nova de Minas,MG
3001,3143609,MORRO DA GARCA,Morro da Garça,MG
3002,3143708,MORRO DO PILAR,Morro do Pilar,MG
3003,3143807,MUNHOZ,Munhoz,MG
3004,3143906,MURIAE,Muriaé,MG
3005,3144003,MUTUM,Mutum,MG
3006,3144102,MUZAMBINHO,Muzambinho,MG
3007,3144201,NACIP RAYDAN,Nacip Raydan,MG
3008,3144300,NANUQUE,Nanuque,MG
3009,3144359,NAQUE,Naque,MG
3010,3144375,NATALANDIA,Natalândia,MG
3011,3144409,NATERCIA,Natércia,MG
3012,3144508,NAZARENO,Nazareno,MG
3013,3144607,NEPOMUCENO,Nepomuceno,MG
3014,3144656,NINHEIRA,Ninheira,MG
3015,3144672,NOVA BELEM,Nova Belém,MG
3016,3144706,NOVA ERA,Nova Era,MG
3017,3144805,NOVA LIMA,Nova Lima,MG
3018,3144904,NOVA MODICA,Nova Módica,MG
3019,3145000,NOVA PONTE,Nova Ponte,MG
3020,3145059,NOVA PORTEIRINHA,Nova Porteirinha,MG
3021,3145109,NOVA RESENDE,Nova Resende,MG
3022,3145208,NOVA SERRANA,Nova Serrana,MG
3023,3145307,NOVO CRUZEIRO,Novo Cruzeiro,MG
3024,3145356,NOVO ORIENTE DE MINAS,Novo Oriente de Minas,MG
3025,3145372,NOVORIZONTE,Novorizonte,MG
3026,3145406,OLARIA,Olaria,MG
3027,3145455,OLHOS-D'AGUA,Olhos-d'Água,MG
3028,3145505,OLIMPIO NORONHA,Olímpio Noronha,MG
3029,3145604,OLIVEIRA,Oliveira,MG
3030,3145703,OLIVEIRA FORTES,Oliveira Fortes,MG
3031,3145802,ONCA DE PITANGUI,Onça de Pitangui,MG
3032,3145851,ORATORIOS,Oratórios,MG
3033,3145877,ORIZANIA,Orizânia,MG
3034,3145901,OURO BRANCO,Ouro Branco,MG
3035,3146008,OURO FINO,Ouro Fino,MG
3036,3146107,OURO PRETO,Ouro Preto,MG
3037,3146206,OURO VERDE DE MINAS,Ouro Verde de Minas,MG
3038,3146255,PADRE CARVALHO,Padre Carvalho,MG
3039,3146305,PADRE PARAISO,Padre Paraíso,MG
3040,3146404,PAINEIRAS,Paineiras,MG
3041,3146503,PAINS,Pains,MG
3042,3146552,PAI PEDRO,Pai Pedro,MG
3043,3146602,PAIVA,Paiva,MG
3044,3146701,PALMA,Palma,MG
3045,3146750,PALMOPOLIS,Palmópolis,MG
3046,3146909,PAPAGAIOS,Papagaios,MG
3047,3147006,PARACATU,Paracatu,MG
3048,3147105,PARA DE MINAS,Pará de Minas,MG
3049,3147204,PARAGUACU,Paraguaçu,MG
3050,3147303,PARAISOPOLIS,Paraisópolis,MG
3051,3147402,PARAOPEBA,Paraopeba,MG
3052,3147501,PASSABEM,Passabém,MG
3053,3147600,PASSA QUATRO,Passa Quatro,MG
3054,3147709,PASSA TEMPO,Passa Tempo,MG
3055,3147808,PASSA-VINTE,Passa-Vinte,MG
3056,3147907,PASSOS,Passos,MG
3057,3147956,PATIS,Patis,MG
3058,3148004,PATOS DE MINAS,Patos de Minas,MG
3059,3148103,PATROCINIO,Patrocínio,MG
3060,3148202,PATROCINIO DO MURIAE,Patrocínio do Muriaé,MG
3061,3148301,PAULA CANDIDO,Paula Cândido,MG
3062,3148400,PAULISTAS,Paulistas,MG
3063,3148509,PAVAO,Pavão,MG
3064,3148608,PECANHA,Peçanha,MG
3065,3148707,PEDRA AZUL,Pedra Azul,MG
3066,3148756,PEDRA BONITA,Pedra Bonita,MG
3067,3148806,PEDRA DO ANTA,Pedra do Anta,MG
3068,3148905,PEDRA DO INDAIA,Pedra do Indaiá,MG
3069,3149002,PEDRA DOURADA,Pedra Dourada,MG
3070,3149101,PEDRALVA,Pedralva,MG
3071,3149150,PEDRAS DE MARIA DA CRUZ,Pedras de Maria da Cruz,MG
3072,3149200,PEDRINOPOLIS,Pedrinópolis,MG
3073,3149309,PEDRO LEOPOLDO,Pedro Leopoldo,MG
3074,3149408,PEDRO TEIXEIRA,Pedro Teixeira,MG
3075,3149507,PEQUERI,Pequeri,MG
3076,3149606,PEQUI,Pequi,MG
3077,3149705,PERDIGAO,Perdigão,MG
3078,3149804,PERDIZES,Perdizes,MG
3079,3149903,PERDOES,Perdões,MG
3080,3149952,PERIQUITO,Periquito,MG
3081,3150000,PESCADOR,Pescador,MG
3082,3150109,PIAU,Piau,MG
3083,3150158,PIEDADE DE CARATINGA,Piedade de Caratinga,MG
3084,3150208,PIEDADE DE PONTE NOVA,Piedade de Ponte Nova,MG
3085,3150307,PIEDADE DO RIO GRANDE,Piedade do Rio Grande,MG
3086,3150406,PIEDADE DOS GERAIS,Piedade dos Gerais,MG
3087,3150505,PIMENTA,Pimenta,MG
3088,3150539,PINGO-D'AGUA,Pingo-d'Água,MG
3089,3150570,PINTOPOLIS,Pintópolis,MG
3090,3150604,PIRACEMA,Piracema,MG
3091,3150703,PIRAJUBA,Pirajuba,MG
3092,3150802,PIRANGA,Piranga,MG
3093,3150901,PIRANGUCU,Piranguçu,MG
3094,3151008,PIRANGUINHO,Piranguinho,MG
3095,3151107,PIRAPETINGA,Pirapetinga,MG
3096,3151206,PIRAPORA,Pirapora,MG
3097,3151305,PIRAUBA,Piraúba,MG
3098,3151404,PITANGUI,Pitangui,MG
3099,3151503,PIUMHI,Piumhi,MG
3100,3151602,PLANURA,Planura,MG
3101,3151701,POCO FUNDO,Poço Fundo,MG
3102,3151800,POCOS DE CALDAS,Poços de Caldas,MG
3103,3151909,POCRANE,Pocrane,MG
3104,3152006,POMPEU,Pompéu,MG
3105,3152105,PONTE NOVA,Ponte Nova,MG
3106,3152131,PONTO CHIQUE,Ponto Chique,MG
3107,3152170,PONTO DOS VOLANTES,Ponto dos Volantes,MG
3108,3152204,PORTEIRINHA,Porteirinha,MG
3109,3152303,PORTO FIRME,Porto Firme,MG
3110,3152402,POTE,Poté,MG
3111,3152501,POUSO ALEGRE,Pouso Alegre,MG
3112,3152600,POUSO ALTO,Pouso Alto,MG
3113,3152709,PRADOS,Prados,MG
3114,3152808,PRATA,Prata,MG
3115,3152907,PRATAPOLIS,Pratápolis,MG
3116,3153004,PRATINHA,Pratinha,MG
3117,3153103,PRESIDENTE BERNARDES,Presidente Bernardes,MG
3118,3153202,PRESIDENTE JUSCELINO,Presidente Juscelino,MG
3119,3153301,PRESIDENTE KUBITSCHEK,Presidente Kubitschek,MG
3120,3153400,PRESIDENTE OLEGARIO,Presidente Olegário,MG
3121,3153509,ALTO JEQUITIBA,Alto Jequitibá,MG
3122,3153608,PRUDENTE DE MORAIS,Prudente de Morais,MG
3123,3153707,QUARTEL GERAL,Quartel Geral,MG
3124,3153806,QUELUZITO,Queluzito,MG
3125,3153905,RAPOSOS,Raposos,MG
3126,3154002,RAUL SOARES,Raul Soares,MG
3127,3154101,RECREIO,Recreio,MG
3128,3154150,REDUTO,Reduto,MG
3129,3154200,RESENDE COSTA,Resende Costa,MG
3130,3154309,RESPLENDOR,Resplendor,MG
3131,3154408,RESSAQUINHA,Ressaquinha,MG
3132,3154457,RIACHINHO,Riachinho,MG
3133,3154507,RIACHO DOS MACHADOS,Riacho dos Machados,MG
3134,3154606,RIBEIRAO DAS NEVES,Ribeirão das Neves,MG
3135,3154705,RIBEIRAO VERMELHO,Ribeirão Vermelho,MG
3136,3154804,RIO ACIMA,Rio Acima,MG
3137,3154903,RIO CASCA,Rio Casca,MG
3138,3155009,RIO DOCE,Rio Doce,MG
3139,3155108,RIO DO PRADO,Rio do Prado,MG
3140,3155207,RIO ESPERA,Rio Espera,MG
3141,3155306,RIO MANSO,Rio Manso,MG
3142,3155405,RIO NOVO,Rio Novo,MG
3143,3155504,RIO PARANAIBA,Rio Paranaíba,MG
3144,3155603,RIO PARDO DE MINAS,Rio Pardo de Minas,MG
3145,3155702,RIO PIRACICABA,Rio Piracicaba,MG
3146,3155801,RIO POMBA,Rio Pomba,MG
3147,3155900,RIO PRETO,Rio Preto,MG
3148,3156007,RIO VERMELHO,Rio Vermelho,MG
3149,3156106,RITAPOLIS,Ritápolis,MG
3150,3156205,ROCHEDO DE MINAS,Rochedo de Minas,MG
3151,3156304,RODEIRO,Rodeiro,MG
3152,3156403,ROMARIA,Romaria,MG
3153,3156452,ROSARIO DA LIMEIRA,Rosário da Limeira,MG
3154,3156502,RUBELITA,Rubelita,MG
3155,3156601,RUBIM,Rubim,MG
3156,3156700,SABARA,Sabará,MG
3157,4115804,MEDIANEIRA,Medianeira,PR
3158,4115853,MERCEDES,Mercedes,PR
3159,4115903,MIRADOR,Mirador,PR
3160,4116000,MIRASELVA,Miraselva,PR
3161,4116059,MISSAL,Missal,PR
3162,4116109,MOREIRA SALES,Moreira Sales,PR
3163,4116208,MORRETES,Morretes,PR
3164,4116307,MUNHOZ DE MELO,Munhoz de Melo,PR
3165,4116406,NOSSA SENHORA DAS GRACAS,Nossa Senhora das Graças,PR
3166,4116505,NOVA ALIANCA DO IVAI,Nova Aliança do Ivaí,PR
3167,4116604,NOVA AMERICA DA COLINA,Nova América da Colina,PR
3168,4116703,NOVA AURORA,Nova Aurora,PR
3169,4116802,NOVA CANTU,Nova Cantu,PR
3170,4116901,NOVA ESPERANCA,Nova Esperança,PR
3171,4116950,NOVA ESPERANCA DO SUDOESTE,Nova Esperança do Sudoeste,PR
3172,4117008,NOVA FATIMA,Nova Fátima,PR
3173,4117057,NOVA LARANJEIRAS,Nova Laranjeiras,PR
3174,4117107,NOVA LONDRINA,Nova Londrina,PR
3175,4117206,NOVA OLIMPIA,Nova Olímpia,PR
3176,4117214,NOVA SANTA BARBARA,Nova Santa Bárbara,PR
3177,4117222,NOVA SANTA ROSA,Nova Santa Rosa,PR
3178,4117255,NOVA PRATA DO IGUACU,Nova Prata do Iguaçu,PR
3179,4117271,NOVA TEBAS,Nova Tebas,PR
3180,4117297,NOVO ITACOLOMI,Novo Itacolomi,PR
3181,4117305,ORTIGUEIRA,Ortigueira,PR
3182,4117404,OURIZONA,Ourizona,PR
3183,4117453,OURO VERDE DO OESTE,Ouro Verde do Oeste,PR
3184,4117503,PAICANDU,Paiçandu,PR
3185,4117602,PALMAS,Palmas,PR
3186,4117701,PALMEIRA,Palmeira,PR
3187,4117800,PALMITAL,Palmital,PR
3188,4117909,PALOTINA,Palotina,PR
3189,4118006,PARAISO DO NORTE,Paraíso do Norte,PR
3190,4118105,PARANACITY,Paranacity,PR
3191,4118204,PARANAGUA,Paranaguá,PR
3192,4118303,PARANAPOEMA,Paranapoema,PR
3193,4118402,PARANAVAI,Paranavaí,PR
3194,4118451,PATO BRAGADO,Pato Bragado,PR
3195,4118501,PATO BRANCO,Pato Branco,PR
3196,4118600,PAULA FREITAS,Paula Freitas,PR
3197,4118709,PAULO FRONTIN,Paulo Frontin,PR
3198,4118808,PEABIRU,Peabiru,PR
3199,4118857,PEROBAL,Perobal,PR
3200,4118907,PEROLA,Pérola,PR
3201,4119004,PEROLA D'OESTE,Pérola d'Oeste,PR
3202,4119103,PIEN,Piên,PR
3203,4119152,PINHAIS,Pinhais,PR
3204,4119202,PINHALAO,Pinhalão,PR
3205,4119251,PINHAL DE SAO BENTO,Pinhal de São Bento,PR
3206,4119301,PINHAO,Pinhão,PR
3207,2707107,PIRANHAS,Piranhas,AL
3208,2707206,POCO DAS TRINCHEIRAS,Poço das Trincheiras,AL
3209,2707305,PORTO CALVO,Porto Calvo,AL
3210,2707404,PORTO DE PEDRAS,Porto de Pedras,AL
3211,2707503,PORTO REAL DO COLEGIO,Porto Real do Colégio,AL
3212,2707602,QUEBRANGULO,Quebrangulo,AL
3213,2707701,RIO LARGO,Rio Largo,AL
3214,2707800,ROTEIRO,Roteiro,AL
3215,2707909,SANTA LUZIA DO NORTE,Santa Luzia do Norte,AL
3216,2402907,CORONEL JOAO PESSOA,Coronel João Pessoa,RN
3217,2403004,CRUZETA,Cruzeta,RN
3218,2403103,CURRAIS NOVOS,Currais Novos,RN
3219,2403202,DOUTOR SEVERIANO,Doutor Severiano,RN
3220,2403251,PARNAMIRIM,Parnamirim,RN
3221,2403301,ENCANTO,Encanto,RN
3222,2403400,EQUADOR,Equador,RN
3223,2403509,ESPIRITO SANTO,Espírito Santo,RN
3224,2403608,EXTREMOZ,Extremoz,RN
3225,2403707,FELIPE GUERRA,Felipe Guerra,RN
3226,2403756,FERNANDO PEDROZA,Fernando Pedroza,RN
3227,2403806,FLORANIA,Florânia,RN
3228,2403905,FRANCISCO DANTAS,Francisco Dantas,RN
3229,2404002,FRUTUOSO GOMES,Frutuoso Gomes,RN
3230,2404101,GALINHOS,Galinhos,RN
3231,2404200,GOIANINHA,Goianinha,RN
3232,2404309,GOVERNADOR DIX-SEPT ROSADO,Governador Dix-Sept Rosado,RN
3233,2404408,GROSSOS,Grossos,RN
3234,2404507,GUAMARE,Guamaré,RN
3235,2404606,IELMO MARINHO,Ielmo Marinho,RN
3236,2404705,IPANGUACU,Ipanguaçu,RN
3237,2404804,IPUEIRA,Ipueira,RN
3238,2404853,ITAJA,Itajá,RN
3239,2404903,ITAU,Itaú,RN
3240,2405009,JACANA,Jaçanã,RN
3241,2405108,JANDAIRA,Jandaíra,RN
3242,2405207,JANDUIS,Janduís,RN
3243,2405306,JANUARIO CICCO,Januário Cicco,RN
3244,2405405,JAPI,Japi,RN
3245,2405504,JARDIM DE ANGICOS,Jardim de Angicos,RN
3246,2405603,JARDIM DE PIRANHAS,Jardim de Piranhas,RN
3247,2405702,JARDIM DO SERIDO,Jardim do Seridó,RN
3248,2405801,JOAO CAMARA,João Câmara,RN
3249,2405900,JOAO DIAS,João Dias,RN
3250,2406007,JOSE DA PENHA,José da Penha,RN
3251,2406106,JUCURUTU,Jucurutu,RN
3252,2406155,JUNDIA,Jundiá,RN
3253,2406205,LAGOA D'ANTA,Lagoa d'Anta,RN
3254,2406304,LAGOA DE PEDRAS,Lagoa de Pedras,RN
3255,2406403,LAGOA DE VELHOS,Lagoa de Velhos,RN
3256,2406502,LAGOA NOVA,Lagoa Nova,RN
3257,2406601,LAGOA SALGADA,Lagoa Salgada,RN
3258,2406700,LAJES,Lajes,RN
3259,2406809,LAJES PINTADAS,Lajes Pintadas,RN
3260,2406908,LUCRECIA,Lucrécia,RN
3261,2407005,LUIS GOMES,Luís Gomes,RN
3262,2407104,MACAIBA,Macaíba,RN
3263,2407203,MACAU,Macau,RN
3264,2407252,MAJOR SALES,Major Sales,RN
3265,2407302,MARCELINO VIEIRA,Marcelino Vieira,RN
3266,2407401,MARTINS,Martins,RN
3267,2407500,MAXARANGUAPE,Maxaranguape,RN
3268,2407609,MESSIAS TARGINO,Messias Targino,RN
3269,2407708,MONTANHAS,Montanhas,RN
3270,2407807,MONTE ALEGRE,Monte Alegre,RN
3271,2407906,MONTE DAS GAMELEIRAS,Monte das Gameleiras,RN
3272,2408003,MOSSORO,Mossoró,RN
3273,2408102,NATAL,Natal,RN
3274,2408201,NISIA FLORESTA,Nísia Floresta,RN
3275,2408300,NOVA CRUZ,Nova Cruz,RN
3276,2408409,OLHO-D'AGUA DO BORGES,Olho-d'Água do Borges,RN
3277,2408508,OURO BRANCO,Ouro Branco,RN
3278,2408607,PARANA,Paraná,RN
3279,2408706,PARAU,Paraú,RN
3280,2408805,PARAZINHO,Parazinho,RN
3281,2408904,PARELHAS,Parelhas,RN
3282,2408953,RIO DO FOGO,Rio do Fogo,RN
3283,2409100,PASSA E FICA,Passa e Fica,RN
3284,2409209,PASSAGEM,Passagem,RN
3285,2409308,PATU,Patu,RN
3286,2409332,SANTA MARIA,Santa Maria,RN
3287,2409407,PAU DOS FERROS,Pau dos Ferros,RN
3288,2409506,PEDRA GRANDE,Pedra Grande,RN
3289,2409605,PEDRA PRETA,Pedra Preta,RN
3290,2409704,PEDRO AVELINO,Pedro Avelino,RN
3291,2409803,PEDRO VELHO,Pedro Velho,RN
3292,2409902,PENDENCIAS,Pendências,RN
3293,2410009,PILOES,Pilões,RN
3294,2410108,POCO BRANCO,Poço Branco,RN
3295,2410207,PORTALEGRE,Portalegre,RN
3296,2410256,PORTO DO MANGUE,Porto do Mangue,RN
3297,2410306,PRESIDENTE JUSCELINO,Presidente Juscelino,RN
3298,2410405,PUREZA,Pureza,RN
3299,2410504,RAFAEL FERNANDES,Rafael Fernandes,RN
3300,2410603,RAFAEL GODEIRO,Rafael Godeiro,RN
3301,2410702,RIACHO DA CRUZ,Riacho da Cruz,RN
3302,2410801,RIACHO DE SANTANA,Riacho de Santana,RN
3303,2410900,RIACHUELO,Riachuelo,RN
3304,2411007,RODOLFO FERNANDES,Rodolfo Fernandes,RN
3305,2411056,TIBAU,Tibau,RN
3306,2411106,RUY BARBOSA,Ruy Barbosa,RN
3307,2411205,SANTA CRUZ,Santa Cruz,RN
3308,2411403,SANTANA DO MATOS,Santana do Matos,RN
3309,2411429,SANTANA DO SERIDO,Santana do Seridó,RN
3310,2411502,SANTO ANTONIO,Santo Antônio,RN
3311,2411601,SAO BENTO DO NORTE,São Bento do Norte,RN
3312,2411700,SAO BENTO DO TRAIRI,São Bento do Trairí,RN
3313,2411809,SAO FERNANDO,São Fernando,RN
3314,2411908,SAO FRANCISCO DO OESTE,São Francisco do Oeste,RN
3315,2412005,SAO GONCALO DO AMARANTE,São Gonçalo do Amarante,RN
3316,2412104,SAO JOAO DO SABUGI,São João do Sabugi,RN
3317,2412203,SAO JOSE DE MIPIBU,São José de Mipibu,RN
3318,2412302,SAO JOSE DO CAMPESTRE,São José do Campestre,RN
3319,2412401,SAO JOSE DO SERIDO,São José do Seridó,RN
3320,2412500,SAO MIGUEL,São Miguel,RN
3321,2412559,SAO MIGUEL DO GOSTOSO,São Miguel do Gostoso,RN
3322,2412609,SAO PAULO DO POTENGI,São Paulo do Potengi,RN
3323,2412708,SAO PEDRO,São Pedro,RN
3324,2412807,SAO RAFAEL,São Rafael,RN
3325,2412906,SAO TOME,São Tomé,RN
3326,2413003,SAO VICENTE,São Vicente,RN
3327,2413102,SENADOR ELOI DE SOUZA,Senador Elói de Souza,RN
3328,2413201,SENADOR GEORGINO AVELINO,Senador Georgino Avelino,RN
3329,2413300,SERRA DE SAO BENTO,Serra de São Bento,RN
3330,2413359,SERRA DO MEL,Serra do Mel,RN
3331,2413409,SERRA NEGRA DO NORTE,Serra Negra do Norte,RN
3332,2413508,SERRINHA,Serrinha,RN
3333,2413557,SERRINHA DOS PINTOS,Serrinha dos Pintos,RN
3334,2413607,SEVERIANO MELO,Severiano Melo,RN
3335,2413706,SITIO NOVO,Sítio Novo,RN
3336,2413805,TABOLEIRO GRANDE,Taboleiro Grande,RN
3337,2413904,TAIPU,Taipu,RN
3338,2414001,TANGARA,Tangará,RN
3339,2414100,TENENTE ANANIAS,Tenente Ananias,RN
3340,2414159,TENENTE LAURENTINO CRUZ,Tenente Laurentino Cruz,RN
3341,2414209,TIBAU DO SUL,Tibau do Sul,RN
3342,2414308,TIMBAUBA DOS BATISTAS,Timbaúba dos Batistas,RN
3343,2414407,TOUROS,Touros,RN
3344,2414456,TRIUNFO POTIGUAR,Triunfo Potiguar,RN
3345,2414506,UMARIZAL,Umarizal,RN
3346,2414605,UPANEMA,Upanema,RN
3347,2414704,VARZEA,Várzea,RN
3348,2414753,VENHA-VER,Venha-Ver,RN
3349,2414803,VERA CRUZ,Vera Cruz,RN
3350,2414902,VICOSA,Viçosa,RN
3351,2415008,VILA FLOR,Vila Flor,RN
3352,2500106,AGUA BRANCA,Água Branca,PB
3353,2500205,AGUIAR,Aguiar,PB
3354,2500304,ALAGOA GRANDE,Alagoa Grande,PB
3355,2500403,ALAGOA NOVA,Alagoa Nova,PB
3356,2500502,ALAGOINHA,Alagoinha,PB
3357,2500536,ALCANTIL,Alcantil,PB
3358,2500577,ALGODAO DE JANDAIRA,Algodão de Jandaíra,PB
3359,2500601,ALHANDRA,Alhandra,PB
3360,2500700,SAO JOAO DO RIO DO PEIXE,São João do Rio do Peixe,PB
3361,2500734,AMPARO,Amparo,PB
3362,2500775,APARECIDA,Aparecida,PB
3363,2500809,ARACAGI,Araçagi,PB
3364,2500908,ARARA,Arara,PB
3365,2501005,ARARUNA,Araruna,PB
3366,2501104,AREIA,Areia,PB
3367,2501153,AREIA DE BARAUNAS,Areia de Baraúnas,PB
